epoch,accuracy,loss,val_accuracy,val_loss
0,0.18518517911434174,1.796473503112793,0.18972331285476685,1.7701383829116821
1,0.2427983582019806,1.7501806020736694,0.197628453373909,1.7587864398956299
2,0.24526749551296234,1.7272436618804932,0.19367589056491852,1.7373058795928955
3,0.25596708059310913,1.7016898393630981,0.20948617160320282,1.716285228729248
4,0.29465019702911377,1.6718804836273193,0.22134387493133545,1.6888870000839233
5,0.30041152238845825,1.6430169343948364,0.2292490154504776,1.665954828262329
6,0.35226336121559143,1.601949691772461,0.26877471804618835,1.6293842792510986
7,0.4485596716403961,1.5585018396377563,0.33596837520599365,1.592437744140625
8,0.5185185074806213,1.5084142684936523,0.35573121905326843,1.556910514831543
9,0.5358024835586548,1.44602370262146,0.46640315651893616,1.4870142936706543
10,0.5810699462890625,1.3822176456451416,0.45059287548065186,1.4595890045166016
11,0.585185170173645,1.3170901536941528,0.46640315651893616,1.4021985530853271
12,0.6131687164306641,1.2426050901412964,0.52173912525177,1.3287911415100098
13,0.6279835104942322,1.1664562225341797,0.5256916880607605,1.2957392930984497
14,0.6551440358161926,1.087876319885254,0.5256916880607605,1.2567638158798218
15,0.6724280118942261,1.0122538805007935,0.5415019989013672,1.2017699480056763
16,0.6798353791236877,0.9595254063606262,0.5454545617103577,1.1633645296096802
17,0.7028806805610657,0.9009357690811157,0.52173912525177,1.1740339994430542
18,0.7020576000213623,0.8522266745567322,0.5889328122138977,1.1272635459899902
19,0.7152263522148132,0.803287148475647,0.5770751237869263,1.0946837663650513
20,0.7316872477531433,0.7596467137336731,0.6600790619850159,0.9886099696159363
21,0.7596707940101624,0.7168495655059814,0.6403161883354187,1.0045379400253296
22,0.7580246925354004,0.6862241625785828,0.6798418760299683,0.9332616329193115
23,0.7942386865615845,0.6408998966217041,0.6798418760299683,0.9086475968360901
24,0.7950617074966431,0.6048585176467896,0.6640316247940063,0.9302825331687927
25,0.7851851582527161,0.5951822996139526,0.6600790619850159,0.8833824992179871
26,0.816460907459259,0.5565903186798096,0.695652186870575,0.8831541538238525
27,0.8469135761260986,0.5232149362564087,0.7035573124885559,0.8652432560920715
28,0.8469135761260986,0.509300172328949,0.6640316247940063,0.8861899971961975
29,0.8609053492546082,0.47908690571784973,0.695652186870575,0.8356761932373047
30,0.8658435940742493,0.460941880941391,0.6837944388389587,0.8919593691825867
31,0.8683127760887146,0.43204355239868164,0.7035573124885559,0.8116849660873413
32,0.8757201433181763,0.41409534215927124,0.7075098752975464,0.7833040356636047
33,0.9028806686401367,0.38449984788894653,0.7193675637245178,0.7414221167564392
34,0.9127572178840637,0.36410748958587646,0.7154150009155273,0.747886598110199
35,0.9259259104728699,0.3407553732395172,0.6916996240615845,0.8007631897926331
